Station Number,Station Name(Kanji),Station Name(Kana),Station Name,Station Name of Snow(Kanji),Station Name of Snow(Kana),Station Name of Snow,Latitude_Precipitation(degree),Longitude_Precipitation(degree),Altitude_Precipitation(m),Height of Anemometer(m),Latitude_Snow(degree),Longitude_Snow(degree),Altitude_Snow(m),Precipitation,Wind Speed,Temperature,Sunshine Duration,Depth of Snow Cover,Humidity,Start Date,End Date,Old Station Number,Disconnection of Precipitation,Disconnection of Wind Speed,Disconnection of Temperature,Disconnection of Sunshine Duration,Disconnection of Depth of Snow Cover,Disconnection of Humidity
14121,石狩,イシカリ,ISHIKARI,石狩,イシカリ,ISHIKARI,43.193,141.370,5,10.1,43.193,141.370,5,1,1,1,2,1,1,2021-03-10,9999-99-99,14121,0,0,0,0,0,0
14136,江別,エベツ,EBETSU,,,,43.110,141.602,8,8.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,14136,0,0,0,6,0,0
14157,手稲山,テイネヤマ,TEINEYAMA,,,,43.083,141.202,568,,,,,1,0,0,0,0,0,2010-03-24,9999-99-99,14157,1,1,1,1,1,1
14163,札幌,サッポロ,SAPPORO,札幌,サッポロ,SAPPORO,43.060,141.328,17,59.7,43.060,141.328,17,1,1,1,1,1,1,2021-03-23,9999-99-99,14163,0,0,0,0,0,0
14191,小金湯,コガネユ,KOGANEYU,小金湯,コガネユ,KOGANEYU,42.963,141.217,230,,42.963,141.217,230,1,0,0,0,1,0,2011-10-31,9999-99-99,14191,0,0,0,0,0,0
14206,恵庭島松,エニワシママツ,ENIWASHIMAMATSU,恵庭島松,エニワシママツ,ENIWASHIMAMATSU,42.927,141.565,30,10.0,42.927,141.565,30,1,1,1,2,1,0,2021-03-02,9999-99-99,14206,0,0,0,6,0,0
14286,支笏湖畔,シコツコハン,SHIKOTSUKOHAN,,,,42.772,141.407,290,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,14286,0,0,0,6,0,0
14296,千歳,チトセ,CHITOSE,千歳,チトセ,CHITOSE,42.775,141.692,22,10.0,42.775,141.692,22,1,1,1,0,1,0,2022-11-10,9999-99-99,14296,0,0,0,0,0,0
15041,朱鞠内,シュマリナイ,SHUMARINAI,朱鞠内,シュマリナイ,SHUMARINAI,44.282,142.162,255,10.0,44.282,142.162,255,1,1,1,2,1,0,2021-03-02,9999-99-99,15041,0,0,0,6,0,0
15076,幌加内,ホロカナイ,HOROKANAI,幌加内,ホロカナイ,HOROKANAI,44.010,142.160,159,9.4,44.010,142.160,159,1,1,1,2,1,0,2021-03-02,9999-99-99,15076,0,0,0,6,0,0
15116,石狩沼田,イシカリヌマタ,ISHIKARINUMATA,石狩沼田,イシカリヌマタ,ISHIKARINUMATA,43.815,141.927,63,10.0,43.815,141.927,63,1,1,1,2,1,0,2022-10-31,9999-99-99,15116,0,0,0,0,0,0
15156,秩父別,チップベツ,CHIPPUBETSU,秩父別,チップベツ,CHIPPUBETSU,43.780,141.962,51,7.9,43.780,141.962,51,1,1,1,2,1,1,2022-10-31,9999-99-99,15156,1,5,5,7,1,1
15161,深川,フカガワ,FUKAGAWA,深川,フカガワ,FUKAGAWA,43.718,142.073,55,10.0,43.718,142.073,55,1,1,1,2,1,0,2021-03-02,9999-99-99,15161,0,0,0,6,0,0
15197,雨竜,ウリュウ,URYU,,,,43.660,141.892,42,,,,,1,0,0,0,0,0,2005-11-01,9999-99-99,15197,1,1,1,1,1,1
15216,新城,シンジョウ,SHINJO,,,,43.612,142.203,147,,,,,1,0,0,0,0,0,1984-10-05,9999-99-99,15216,1,1,1,1,1,1
15231,空知吉野,ソラチヨシノ,SORACHIYOSHINO,,,,43.595,141.732,100,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,15231,0,0,0,6,0,0
15241,滝川,タキカワ,TAKIKAWA,滝川,タキカワ,TAKIKAWA,43.570,141.938,50,9.9,43.570,141.938,50,1,1,1,2,1,1,2021-09-13,9999-99-99,15241,0,0,0,0,0,0
15247,赤平,アカビラ,AKABIRA,,,,43.553,142.067,120,,,,,1,0,0,0,0,0,2005-10-31,9999-99-99,15247,1,1,1,1,1,1
15251,芦別,アシベツ,ASHIBETSU,芦別,アシベツ,ASHIBETSU,43.520,142.190,91,10.0,43.520,142.190,91,1,1,1,2,1,0,2021-03-02,9999-99-99,15251,0,0,0,6,0,0
15276,浦臼,ウラウス,URAUSU,,,,43.428,141.808,25,,,,,1,0,0,0,0,0,1983-08-02,9999-99-99,15276,1,1,1,1,1,1
15311,月形,ツキガタ,TSUKIGATA,,,,43.330,141.617,50,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,15311,0,0,0,6,0,0
15321,美唄,ビバイ,BIBAI,美唄,ビバイ,BIBAI,43.363,141.827,16,10.0,43.363,141.827,16,1,1,1,2,1,0,2021-03-02,9999-99-99,15321,0,0,0,6,0,0
15356,岩見沢,イワミザワ,IWAMIZAWA,岩見沢,イワミザワ,IWAMIZAWA,43.212,141.785,42,22.1,43.212,141.785,42,1,1,1,1,1,1,2021-03-02,9999-99-99,15356,0,0,0,0,0,0
15391,栗沢,クリサワ,KURISAWA,,,,43.122,141.745,20,,,,,1,0,0,0,0,0,1975-06-07,9999-99-99,15391,1,1,1,1,1,1
15431,長沼,ナガヌマ,NAGANUMA,,,,43.012,141.693,13,10.1,,,,1,1,1,2,0,1,2021-03-11,9999-99-99,15431,0,0,0,0,0,0
15442,夕張,ユウバリ,YUBARI,夕張,ユウバリ,YUBARI,43.038,141.957,293,10.1,43.038,141.957,293,1,1,1,2,1,1,2021-03-12,9999-99-99,15442,0,0,0,0,0,0
15451,鹿島,カシマ,KASHIMA,,,,43.080,142.100,310,,,,,1,0,0,0,0,0,1999-08-04,9999-99-99,15451,0,0,0,0,0,0
15491,沼の沢,ヌマノサワ,NUMANOSAWA,,,,42.960,142.020,161,,,,,1,0,0,0,0,0,1983-08-02,9999-99-99,15491,1,1,1,1,1,1
16026,美国,ビクニ,BIKUNI,,,,43.272,140.563,75,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,16026,0,0,0,6,0,0
16061,神恵内,カモエナイ,KAMOENAI,,,,43.145,140.423,50,9.9,,,,1,1,1,2,0,1,2021-10-18,9999-99-99,16061,0,0,0,0,0,0
16076,余市,ヨイチ,YOICHI,余市,ヨイチ,YOICHI,43.182,140.758,20,10.0,43.182,140.758,20,1,1,1,2,1,0,2021-03-02,9999-99-99,16076,0,0,0,6,0,0
16091,小樽,オタル,OTARU,小樽,オタル,OTARU,43.182,141.015,25,13.6,43.182,141.015,25,1,1,1,1,1,1,2021-03-02,9999-99-99,16091,0,0,0,0,0,0
16126,赤井川,アカイガワ,AKAIGAWA,赤井川,アカイガワ,AKAIGAWA,43.083,140.820,148,,43.083,140.820,148,1,0,0,0,1,0,1996-10-14,9999-99-99,16126,0,0,0,0,0,0
16156,共和,キョウワ,KYOWA,共和,キョウワ,KYOWA,42.980,140.603,15,10.0,42.980,140.603,15,1,1,1,2,1,0,2021-03-02,9999-99-99,16156,0,0,0,6,0,0
16206,蘭越,ランコシ,RANKOSHI,蘭越,ランコシ,RANKOSHI,42.810,140.542,39,8.0,42.810,140.542,39,1,1,1,2,1,0,2021-03-02,9999-99-99,16206,0,0,0,6,0,0
16217,倶知安,クッチャン,KUTCHAN,倶知安,クッチャン,KUTCHAN,42.900,140.757,176,30.8,42.900,140.757,176,1,1,1,1,1,1,2021-03-02,9999-99-99,16217,0,0,0,0,0,0
16252,寿都,スッツ,SUTTSU,寿都,スッツ,SUTTSU,42.795,140.223,33,17.6,42.795,140.223,33,1,1,1,1,1,1,2021-03-02,9999-99-99,16252,0,0,0,0,0,0
16272,ニセコ,ニセコ,NISEKO,,,,42.778,140.667,113,,,,,1,0,0,0,0,0,2010-03-11,9999-99-99,16272,1,1,1,1,1,1
16281,真狩,マッカリ,MAKKARI,,,,42.775,140.880,440,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,16281,0,0,0,6,0,0
16286,喜茂別,キモベツ,KIMOBETSU,喜茂別,キモベツ,KIMOBETSU,42.793,140.948,264,10.0,42.793,140.948,264,1,1,1,2,1,0,2021-03-02,9999-99-99,16286,0,0,0,6,0,0
16321,黒松内,クロマツナイ,KUROMATSUNAI,黒松内,クロマツナイ,KUROMATSUNAI,42.663,140.310,27,10.0,42.663,140.310,27,1,1,1,2,1,0,2021-03-02,9999-99-99,16321,0,0,0,6,0,0
17036,雄武,オウム,OMU,雄武,オウム,OMU,44.580,142.963,14,16.6,44.580,142.963,14,1,1,1,1,1,1,2021-03-02,9999-99-99,17036,0,0,0,0,0,0
17076,興部,オコッペ,OKOPPE,,,,44.470,143.108,8,9.9,,,,1,1,1,2,0,1,2021-10-22,9999-99-99,17076,0,0,0,0,0,0
17091,西興部,ニシオコッペ,NISHI-OKOPPE,西興部,ニシオコッペ,NISHI-OKOPPE,44.332,142.935,120,8.0,44.332,142.935,120,1,1,1,2,1,0,2021-03-02,9999-99-99,17091,0,0,0,6,0,0
17112,紋別,モンベツ,MOMBETSU,紋別,モンベツ,MOMBETSU,44.345,143.355,16,13.6,44.345,143.355,16,1,1,1,1,1,1,2021-03-02,9999-99-99,17112,0,0,0,0,0,0
17116,紋別小向,モンベツコムカイ,MOMBETSUKOMUKAI,紋別小向,モンベツコムカイ,MOMBETSUKOMUKAI,44.303,143.403,18,10.4,44.303,143.403,18,1,1,1,0,1,0,2009-01-30,9999-99-99,17116,0,4,4,0,0,0
17166,湧別,ユウベツ,YUBETSU,,,,44.213,143.618,5,9.4,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,17166,0,0,0,6,0,0
17196,滝上,タキノウエ,TAKINOUE,滝上,タキノウエ,TAKINOUE,44.177,143.062,165,10.0,44.177,143.062,165,1,1,1,2,1,0,2021-03-02,9999-99-99,17196,0,0,0,6,0,0
17211,上藻別,カミモベツ,KAMIMOBETSU,,,,44.187,143.335,94,,,,,1,0,0,0,0,0,2019-10-10,9999-99-99,17211,0,0,0,0,0,0
17246,常呂,トコロ,TOKORO,,,,44.115,144.037,3,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,17246,0,0,0,6,0,0
17306,遠軽,エンガル,ENGARU,遠軽,エンガル,ENGARU,44.053,143.540,80,10.0,44.053,143.540,80,1,1,1,2,1,0,2021-03-02,9999-99-99,17306,0,0,0,6,0,0
17316,佐呂間,サロマ,SAROMA,佐呂間,サロマ,SAROMA,44.018,143.760,54,10.0,44.018,143.760,54,1,1,1,2,1,0,2021-03-02,9999-99-99,17316,0,0,0,6,0,0
17341,網走,アバシリ,ABASHIRI,網走,アバシリ,ABASHIRI,44.017,144.278,38,20.0,44.017,144.278,38,1,1,1,1,1,1,2021-03-02,9999-99-99,17341,0,0,0,0,0,0
17351,宇登呂,ウトロ,UTORO,宇登呂,ウトロ,UTORO,44.052,144.982,144,10.0,44.052,144.982,144,1,1,1,2,1,0,2021-03-02,9999-99-99,17351,0,0,0,6,0,0
17386,丸瀬布,マルセップ,MARUSEPPU,,,,43.952,143.328,242,,,,,1,0,0,0,0,0,1984-10-05,9999-99-99,17386,1,1,1,1,1,1
17482,白滝,シラタキ,SHIRATAKI,白滝,シラタキ,SHIRATAKI,43.865,143.153,475,10.0,43.865,143.153,475,1,1,1,2,1,0,2021-03-02,9999-99-99,17482,0,0,0,6,0,0
17501,生田原,イクタハラ,IKUTAHARA,,,,43.917,143.532,199,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,17501,0,0,0,6,0,0
17512,仁頃山,ニコロヤマ,NIKOROYAMA,,,,43.860,143.747,261,,,,,1,0,0,0,0,0,2005-11-02,9999-99-99,17512,1,1,1,1,1,1
17521,北見,キタミ,KITAMI,北見,キタミ,KITAMI,43.777,143.842,104,10.1,43.777,143.842,104,1,1,1,2,1,1,2021-03-16,9999-99-99,17521,0,0,0,0,0,0
17531,女満別,メマンベツ,MEMAMBETSU,女満別,メマンベツ,MEMAMBETSU,43.880,144.163,33,10.0,43.880,144.163,33,1,1,1,0,1,0,2020-11-05,9999-99-99,17531,0,0,0,0,0,0
17541,東藻琴,ヒガシモコト,HIGASHIMOKOTO,,,,43.840,144.285,58,,,,,1,0,0,0,0,0,1997-10-20,9999-99-99,17541,0,0,0,0,0,0
17546,小清水,コシミズ,KOSHIMIZU,,,,43.842,144.485,52,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,17546,0,0,0,6,0,0
17561,斜里,シャリ,SHARI,斜里,シャリ,SHARI,43.885,144.700,15,10.0,43.885,144.700,15,1,1,1,2,1,0,2021-03-02,9999-99-99,17561,0,0,0,6,0,0
17596,留辺蘂,ルベシベ,RUBESHIBE,留辺蘂,ルベシベ,RUBESHIBE,43.742,143.450,325,10.0,43.742,143.450,325,1,1,1,2,1,0,2021-03-02,9999-99-99,17596,0,0,0,6,0,0
17607,境野,サカイノ,SAKAINO,,,,43.707,143.643,184,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,17607,0,0,0,6,0,0
17631,美幌,ビホロ,BIHORO,,,,43.770,144.172,60,10.1,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,17631,0,0,0,6,0,0
17642,山園,ヤマゾノ,YAMAZONO,,,,43.743,144.337,361,,,,,1,0,0,0,0,0,2010-03-18,9999-99-99,17642,1,1,1,1,1,1
17686,置戸常元,オケトツネモト,OKETOTSUNEMOTO,,,,43.620,143.440,368,,,,,1,0,0,0,0,0,2005-11-08,9999-99-99,17686,1,1,1,1,1,1
17717,津別,ツベツ,TSUBETSU,津別,ツベツ,TSUBETSU,43.702,144.033,100,10.0,43.702,144.033,100,1,1,1,2,1,0,2021-03-02,9999-99-99,17717,0,0,0,6,0,0
17776,津別二又,ツベツフタマタ,TSUBETSUFUTAMATA,,,,43.583,143.865,210,,,,,1,0,0,0,0,0,2012-11-15,9999-99-99,17776,0,0,0,0,0,0
18038,羅臼,ラウス,RAUSU,羅臼,ラウス,RAUSU,44.023,145.187,15,9.9,44.023,145.187,15,1,1,1,2,1,1,2021-09-16,9999-99-99,18038,0,0,0,0,0,0
18091,糸櫛別,イトクシベツ,ITOKUSHIBETSU,,,,43.722,144.988,115,,,,,1,0,0,0,0,0,1978-07-28,9999-99-99,18091,1,1,1,1,1,1
18136,標津,シベツ,SHIBETSU,,,,43.662,145.132,3,8.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,18136,0,0,0,6,0,0
18161,上標津,カミシベツ,KAMISHIBETSU,,,,43.520,144.747,160,6.5,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,18161,0,0,0,6,0,0
18171,中標津,ナカシベツ,NAKASHIBETSU,中標津,ナカシベツ,NAKASHIBETSU,43.543,144.978,50,10.1,43.543,144.978,50,1,1,1,2,1,1,2021-03-10,9999-99-99,18171,0,0,0,0,0,0
18174,根室中標津,ネムロナカシベツ,NEMURO-NAKASHIBETSU,根室中標津,ネムロナカシベツ,NEMURO-NAKASHIBETSU,43.577,144.960,65,10.0,43.577,144.960,65,1,1,1,0,1,0,2017-11-09,9999-99-99,18174,0,0,0,0,0,0
18256,別海,ベツカイ,BETSUKAI,別海,ベツカイ,BETSUKAI,43.382,145.118,23,10.0,43.382,145.118,23,1,1,1,2,1,0,2021-03-02,9999-99-99,18256,0,0,0,6,0,0
18273,根室,ネムロ,NEMURO,根室,ネムロ,NEMURO,43.330,145.585,25,29.2,43.330,145.585,25,1,1,1,1,1,1,2021-03-02,9999-99-99,18273,0,0,0,0,0,0
18281,納沙布,ノサップ,NOSAPPU,,,,43.393,145.758,12,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,18281,0,0,0,6,0,0
18311,厚床,アットコ,ATTOKO,厚床,アットコ,ATTOKO,43.222,145.227,41,10.0,43.222,145.227,41,1,1,1,2,1,0,2021-03-02,9999-99-99,18311,0,0,0,6,0,0
19021,川湯,カワユ,KAWAYU,川湯,カワユ,KAWAYU,43.617,144.457,158,9.5,43.617,144.457,158,1,1,1,2,1,0,2021-03-02,9999-99-99,19021,0,0,0,6,0,0
19051,弟子屈,テシカガ,TESHIKAGA,,,,43.510,144.467,170,10.0,,,,1,1,1,2,0,0,2021-03-02,9999-99-99,19051,0,0,0,6,0,0
19076,阿寒湖畔,アカンコハン,AKANKOHAN,阿寒湖畔,アカンコハン,AKANKOHAN,43.437,144.083,426,9.9,43.437,144.083,426,1,1,1,2,1,0,2021-03-02,9999-99-99,19076,0,0,0,6,0,0
